,Unnamed: 0,Dates,Lastnames,Texts,Links,Counts,Rank,Type,Travel_Places,Travel_Start_Date,Travel_End_Date,Link_Content,Topics,Meet_countries,content
20,20,13-Jan-21,Royce,"1:00 p.m.Assistant Secretary Royce delivers remarks virtually to the Academy for Women Entrepreneurs partner institution Arizona State University on the importance of investing in women’s economic empowerment,from the Department of State.",None,1,4,TBD, ,,, , ; econ,,
21,21,12-Jan-21,Pompeo,"10:30 a.m. Secretary Pompeo delivers remarks at the National Press Club, in Washington, D.C.",None,1,1,TBD, ,,, ,,,
22,22,12-Jan-21,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
23,23,12-Jan-21,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
24,24,12-Jan-21,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
25,25,12-Jan-21,Schenker,"Assistant Secretary Schenker is on travel to Jordan, Algeria, and Morocco, from January 3-12, 2021.",<https://2017-2021.state.gov/assistant-secretary-schenker-travel-to-jordan-algeria-and-morocco/>,1,4,Travel, ; Morocco ; Jordan ; Algeria,2021-01-03,2021-01-12, ,,,"Assistant Secretary of State for Near Eastern Affairs David Schenker will travel to Jordan, Algeria, and Morocco, January 3-12 to discuss economic and security cooperation with government leaders.;;;;;;;;;;;;During his trip, Assistant Secretary Schenker will underscore the United States’ deep commitment to fostering economic prosperity, peace, and stability in the Middle East and North Africa.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
26,26,12-Jan-21,Reeker,"Ambassador Reeker is on travel to Belgium, from January 11-14, 2021.",None,1,4,Travel, ; Belgium,2021-01-11,2021-01-14, ,,,
27,27,11-Jan-21,Pompeo,"3:00 p.m. Secretary Pompeo delivers remarks at Voice of America, in Washington, D.C.",None,1,1,TBD, ,,, ,,,
28,28,11-Jan-21,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
29,29,11-Jan-21,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
30,30,11-Jan-21,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
31,31,11-Jan-21,Schenker,"Assistant Secretary Schenker is on travel to Jordan, Algeria, and Morocco, from January 3-12, 2021. Please click here for more information.",None,1,4,Travel, ; Morocco ; Jordan ; Algeria,2021-01-03,2021-01-12, ,,,
32,32,11-Jan-21,Cooper,"11:30 a.m. Assistant Secretary Cooper meets with Representative of the Taipei Economic and Cultural Representative Office in the United States Bi-Khim Hsiao, in Washington, D.C.",None,1,4,Meeting, ,,, , ; econ, ; Taiwan ; United States,
33,33,11-Jan-21,Currie,"Ambassador Currie is on travel to Uzbekistan and Moroccowith an interagency delegation led by Chief Executive Officer of the U.S. International Development Finance Corporation Adam S. Boehler, from January 8-11, 2021.",None,1,4,Travel, ; Uzbekistan ; Morocco,2021-01-08,2021-01-11, , ; international_organization ; finance,,
34,34,8-Jan-21,Pompeo,"Secretary Pompeo attends meetings and briefings, at the Department of State.",None,1,1,Meeting, ,,, ,, ; Domestic,
35,35,8-Jan-21,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
36,36,8-Jan-21,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
37,37,8-Jan-21,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
38,38,8-Jan-21,Schenker,"Assistant Secretary Schenker is on travel to Jordan, Algeria, and Morocco, from January 3-12, 2021.",<https://2017-2021.state.gov/assistant-secretary-schenker-travel-to-jordan-algeria-and-morocco/>,1,4,Travel, ; Morocco ; Jordan ; Algeria,2021-01-03,2021-01-12, ,,,"Assistant Secretary of State for Near Eastern Affairs David Schenker will travel to Jordan, Algeria, and Morocco, January 3-12 to discuss economic and security cooperation with government leaders.;;;;;;;;;;;;During his trip, Assistant Secretary Schenker will underscore the United States’ deep commitment to fostering economic prosperity, peace, and stability in the Middle East and North Africa.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
39,39,8-Jan-21,Currie,"Ambassador Currie is on travel to Kazakhstan with an interagency delegation led by Chief Executive Officer of the U.S. International Development Finance Corporation Adam S. Boehler, from January 8-11, 2021.",None,1,4,Travel, ; Kazakhstan,2021-01-08,2021-01-11, , ; international_organization ; finance,,
40,40,7-Jan-21,Pompeo,"Secretary Pompeo attends meetings and briefings, at the Department of State.",None,1,1,Meeting, ,,, ,, ; Domestic,
41,41,7-Jan-21,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
42,42,7-Jan-21,Hale,"9:00 a.m. Under Secretary Hale virtually hosts the U.S.-Afghanistan-Tajikistan Trilateral Meeting, from the Department of State.",None,1,3,Meeting, ,,, ,, ; Tajikistan ; Afghanistan,
43,43,7-Jan-21,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
44,44,7-Jan-21,Schenker,"Assistant Secretary Schenker is on travel to Jordan, Algeria, and Morocco, from January 3-12, 2021.",<https://2017-2021.state.gov/assistant-secretary-schenker-travel-to-jordan-algeria-and-morocco/>,1,4,Travel, ; Morocco ; Jordan ; Algeria,2021-01-03,2021-01-12, ,,,"Assistant Secretary of State for Near Eastern Affairs David Schenker will travel to Jordan, Algeria, and Morocco, January 3-12 to discuss economic and security cooperation with government leaders.;;;;;;;;;;;;During his trip, Assistant Secretary Schenker will underscore the United States’ deep commitment to fostering economic prosperity, peace, and stability in the Middle East and North Africa.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
45,45,6-Jan-21,Pompeo,"Secretary Pompeo attends meetings and briefings, at the Department of State.",None,1,1,Meeting, ,,, ,, ; Domestic,
46,46,6-Jan-21,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
47,47,6-Jan-21,Hale,"2:00 p.m. Under Secretary Hale officiates the swearing-in ceremony of Jonathan Pratt as U.S. Ambassador to Djibouti, at the Department of State.",None,1,3,TBD, ,,, ,,,
48,48,6-Jan-21,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
49,49,6-Jan-21,Schenker,"Assistant Secretary Schenker is on travel to Jordan, Algeria, and Morocco, from January 3-12, 2021.",<https://2017-2021.state.gov/assistant-secretary-schenker-travel-to-jordan-algeria-and-morocco/>,1,4,Travel, ; Morocco ; Jordan ; Algeria,2021-01-03,2021-01-12, ,,,"Assistant Secretary of State for Near Eastern Affairs David Schenker will travel to Jordan, Algeria, and Morocco, January 3-12 to discuss economic and security cooperation with government leaders.;;;;;;;;;;;;During his trip, Assistant Secretary Schenker will underscore the United States’ deep commitment to fostering economic prosperity, peace, and stability in the Middle East and North Africa.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
50,50,6-Jan-21,Cooper,"6:30 p.m. Assistant Secretary Cooper delivers virtual remarks at the Taiwan POL/MIL Dialogue, from the Department of State.",None,1,4,TBD, ,,, , ; China,,
51,51,5-Jan-21,Pompeo,"Secretary Pompeo attends meetings and briefings, at the Department of State.",None,1,1,Meeting, ,,, ,, ; Domestic,
52,52,5-Jan-21,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
53,53,5-Jan-21,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
54,54,5-Jan-21,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
55,55,5-Jan-21,Schenker,"Assistant Secretary Schenker is on travel to Jordan, Algeria, and Morocco, from January 3-12, 2021.",<https://2017-2021.state.gov/assistant-secretary-schenker-travel-to-jordan-algeria-and-morocco/>,1,4,Travel, ; Morocco ; Jordan ; Algeria,2021-01-03,2021-01-12, ,,,"Assistant Secretary of State for Near Eastern Affairs David Schenker will travel to Jordan, Algeria, and Morocco, January 3-12 to discuss economic and security cooperation with government leaders.;;;;;;;;;;;;During his trip, Assistant Secretary Schenker will underscore the United States’ deep commitment to fostering economic prosperity, peace, and stability in the Middle East and North Africa.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
56,56,4-Jan-21,Pompeo,"Secretary Pompeo attends meetings and briefings, at the Department of State.",None,1,1,Meeting, ,,, ,, ; Domestic,
57,57,4-Jan-21,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
58,58,4-Jan-21,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
59,59,4-Jan-21,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
60,60,1-Jan-21,Pompeo,Secretary Pompeo has no public appointments.,None,1,1,TBD, ,,, ,,,
61,61,31-Dec-20,Pompeo,Secretary Pompeo has no public appointments.,None,1,1,TBD, ,,, ,,,
62,62,31-Dec-20,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
63,63,31-Dec-20,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
64,64,31-Dec-20,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
65,65,30-Dec-20,Pompeo,Secretary Pompeo has no public appointments.,None,1,1,TBD, ,,, ,,,
66,66,30-Dec-20,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
67,67,30-Dec-20,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
68,68,30-Dec-20,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
69,69,30-Dec-20,Cooper,"3:00 p.m. Assistant Secretary Cooper meets with Bahraini Ambassador to the United States Abdullah bin Rashid Al Khalifa, in McLean, Virginia.",None,1,4,Meeting, ,,, ,, ; Bahrain ; United States,
70,70,29-Dec-20,Pompeo,Secretary Pompeo has no public appointments.,None,1,1,TBD, ,,, ,,,
71,71,29-Dec-20,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
72,72,29-Dec-20,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
73,73,29-Dec-20,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
74,74,28-Dec-20,Pompeo,Secretary Pompeo has no public appointments.,None,1,1,TBD, ,,, ,,,
75,75,28-Dec-20,Biegun,"DeputySecretary Biegunattends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
76,76,28-Dec-20,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
77,77,28-Dec-20,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
78,78,25-Dec-20,Pompeo,Secretary Pompeo has no public appointments.,None,1,1,TBD, ,,, ,,,
79,79,24-Dec-20,Pompeo,Secretary Pompeo has no public appointments.,None,1,1,TBD, ,,, ,,,
80,80,23-Dec-20,Pompeo,"Secretary Pompeo attends meetings and briefings, at the Department of State.",None,1,1,Meeting, ,,, ,, ; Domestic,
81,81,23-Dec-20,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
82,82,23-Dec-20,Hale,"12:30 p.m. Under Secretary Hale attends a working lunch with Irish Ambassador to the United States Daniel Mulhall, in Washington, D.C.",None,1,3,Meeting, ,,, ,, ; Ireland ; United States,
83,83,23-Dec-20,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
84,84,22-Dec-20,Pompeo,"Secretary Pompeo attends meetings and briefings, at the Department of State.",None,1,1,Meeting, ,,, ,, ; Domestic,
85,85,22-Dec-20,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
86,86,22-Dec-20,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
87,87,22-Dec-20,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
88,88,18-Dec-20,Pompeo,Secretary Pompeo has no public appointments.,None,1,1,TBD, ,,, ,,,
89,89,18-Dec-20,Biegun,"Deputy Secretary Biegun attends meetings and briefing, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
90,90,18-Dec-20,Hale,"12:30 p.m.Under Secretary Hale attends a working lunch with Danish Ambassador to the United States Lone Dencker Wisborg, in Washington, D.C.",None,1,3,Meeting, ,,, ,, ; Denmark ; United States,
91,91,18-Dec-20,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
92,92,18-Dec-20,Reeker,"12:30 p.m.Ambassador Reeker joins Under Secretary for Political Affairs David Hale at a lunch with Danish Ambassador to the United States Lone Dencker Wisborg, Lone Dencker Wisborg, in Washington, D.C.",None,2,4,TBD, ,,, ,,,
93,93,17-Dec-20,Pompeo,Secretary Pompeo has no public appointments.,None,1,1,TBD, ,,, ,,,
94,94,17-Dec-20,Biegun,"2:30 p.m. Deputy Secretary Biegun meets virtually with Surinamese Foreign Minister Albert Ramdin, from the Department of State.",None,1,2,Meeting, ,,, ,, ; Suriname,
95,95,17-Dec-20,Hale,"10:00 a.m.Under Secretary Hale hosts a virtual briefing for the Washington diplomatic corps, from the Department of State.",None,1,3,TBD, ,,, ,,,
96,96,17-Dec-20,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
97,97,17-Dec-20,Reeker,"10:00 a.m. Ambassador Reeker virtually delivers opening remarks at the U.S.-Portugal Standing Bilateral Commission, from Washington, D.C.",None,1,4,TBD, ,,, ,,,
98,98,17-Dec-20,Reeker,"2:00 p.m. Ambassador Reeker participates at the Business Council for International Understanding Virtual Roundtable, from Washington, D.C.",None,1,4,TBD, ,,, , ; econ,,
99,99,16-Dec-20,Pompeo,Secretary Pompeo has no public appointments.,None,1,1,TBD, ,,, ,,,
100,100,16-Dec-20,Biegun,"Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
101,101,16-Dec-20,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
102,102,16-Dec-20,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
103,103,16-Dec-20,Royce,"10:00 a.m. Assistant Secretary Royce delivers opening remarks at the Center for Strategic & International Studies virtual roundtable on Strategic Investments in Education and Exchange Programs in an Era of Great Power Competition, from the Department of State.",None,1,4,TBD, ,,, , ; security ; econ,,
104,104,16-Dec-20,Fannon,"Assistant Secretary Fannon is on travel to Portugal from December 15-17, 2020.",<https://2017-2021.state.gov/assistant-secretary-fannon-travels-to-portugal-to-promote-responsible-energy-supply-chains/>,1,4,Travel, ; Portugal,2020-12-15,2020-12-17, ,,,"Assistant Secretary of State for Energy Resources (ENR) Francis R. Fannon is travelling in Portugal December 15-17 to meet with Portuguese government officials and private sector representatives to promote energy security, including diverse and environmentally responsible energy supply chains.;;;;;;;;;;;;Assistant Secretary Fannon will discuss energy transitions underway globally and how the United States and Portugal can optimize outcomes, as well as how to advance opportunities for U.S.-EU energy policy cooperation during Portugal’s European Union Presidency starting in January 2021.  He will underscore how the United States is supporting the global transition to cleaner energy technologies and highlight U.S. efforts to ensure reliable access to critical energy minerals from diverse suppliers that adhere to international social, human rights, and environmental standards, including through the Energy Resource Governance Initiative (;;;;<https://www.ergi.tools/>;;;;www.ERGI.tools;;;; ;;;;).;;;;;;;;;;;;The United States and Portugal have long standing cooperative efforts on advancing European energy security and Assistant Secretary Francis Fannon’s travel to Portugal will further strengthen this important partnership.;;;;;;;;;;;;For further information, contact Donald Kilburg, Spokesperson for the Bureau of Energy Resources, at ;;;;KilburgDF@america.gov<mailto:KilburgDF@america.gov>;;;; or visit ;;;;2017-2021.state.gov/e/enr<https://2017-2021.state.gov/bureaus-offices/under-secretary-for-economic-growth-energy-and-the-environment/bureau-of-energy-resources/>;;;;.  Additional information is available on Twitter at @EnergyAtState.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
105,105,16-Dec-20,Reeker,"11:00 a.m. Ambassador Reeker meets virtually with Andorran Foreign Minister Maria Ubach to commemorate 25 years of bilateral relations between Andorra and the United States, from Washington, D.C.",None,1,4,Meeting, ,,, ,, ; Andorra ; United States,
106,106,16-Dec-20,Reeker,"12:30 p.m. Ambassador Reeker has lunch with the United Kingdom Embassy Deputy Chief of Mission Michael Tatham, in Washington, D.C.",None,1,4,TBD, ,,, ,,,
107,107,16-Dec-20,Reeker,"4:00 p.m. Ambassador Reeker meets with Ukrainian Ambassador to the United States Volodymyr Yelchenko, at the Department of State.",None,1,4,Meeting, ,,, ,, ; Ukraine ; United States,
108,108,15-Dec-20,Pompeo,"12:30 p.m.Secretary Pompeo hosts a holiday reception in honor of Unaccompanied Tour Families, at the Department of State.",None,1,1,TBD, ,,, ,,,
109,109,15-Dec-20,Biegun,"2:30 p.m. Secretary Biegun participatesin a virtual discussion hosted by the German Marshall Fund with Belarusianleader of the opposition SviatlanaTsikhanouskaya, from the Department of State.",None,1,2,TBD, ,,, ,,,
110,110,15-Dec-20,Hale,"12:30 p.m.Under Secretary Hale attends a working lunch with United Kingdom Ambassador to the United States Karen Pierce, in Washington, D.C.",None,1,3,Meeting, ,,, ,, ; United Kingdom ; United States,
111,111,15-Dec-20,Hale,"6:00 p.m. Under Secretary Hale meets with the Italian Ambassador to the United States Armando Varricchio, in Washington, D.C.",None,1,3,Meeting, ,,, ,, ; Italy ; United States,
112,112,15-Dec-20,Krach,"1:00 p.m. Under Secretary Krach participates in the Millennium Challenge Corporation Board Meeting, in Washington, D.C.",None,1,3,Meeting, ,,, ,, ; Domestic,
113,113,15-Dec-20,Singh,"4:00 p.m.Assistant SecretarySinghvirtuallyhostsa meeting with American Airlines and Daon, from the Department of State.",None,1,4,Meeting, ,,, ,, ; Domestic,
114,114,15-Dec-20,Reeker,"11:30 a.m. Ambassador Reeker delivers a virtual keynote speech at the Turkish Heritage Organization event “Recent Developments in Crimea: Human Rights Violations and Ongoing Militarization of Crimea” from Washington, D.C.",None,1,4,TBD, ,,, ,,,
115,115,15-Dec-20,Reeker,"1:00 p.m. Ambassador Reeker attends lunch with European Union Ambassador to the United States Stavros Lambrinidis, in Washington, D.C.",None,1,4,Meeting, ,,, ,, ; EU ; United States,
116,116,15-Dec-20,Reeker,"6:00 p.m.Ambassador Reeker joins Under Secretary for Political Affairs David Hale’s meeting with Italian Ambassador to the United States Armando Varricchio, in Washington, D.C.",None,2,4,Meeting, ,,, ,, ; Italy ; United States,
117,117,14-Dec-20,Pompeo,"Secretary Pompeo attends meetings and briefings, at the Department of State.",None,1,1,Meeting, ,,, ,, ; Domestic,
118,118,14-Dec-20,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
119,119,14-Dec-20,Barsa,"10:30 a.m. Acting Deputy Administrator Barsa deliversremarks at a virtual Nutrition for Growth Springboard event, hosted by Global Affairs Canada and Bill & Melinda Gates Foundation.",<https://events.gatesfoundation.org/events/nutrition-for-growth-year-of-action-launch-event/registration-08d950c0e0684c0a9e1e183c607d7a1d.aspx?fqp=true>,1,4,TBD, ,,, ,,,
120,120,14-Dec-20,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
121,121,14-Dec-20,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
122,122,14-Dec-20,Reeker,"2:00 p.m.Ambassador Reeker meets with Albanian Ambassador to the United States Floreta Faber, at the Department of State.",None,1,4,Meeting, ,,, ,, ; United States ; Albania,
123,123,11-Dec-20,Pompeo,Secretary Pompeo has no public appointments.,None,1,1,TBD, ,,, ,,,
124,124,11-Dec-20,Biegun,"Deputy Secretary Biegun is on travel to the Republic of Korea, from December 8-11, 2020.",<https://2017-2021.state.gov/deputy-secretary-bieguns-travel-to-the-republic-of-korea/>,1,2,Travel, ; Korea,2020-12-08,2020-12-11, ,,,"Deputy Secretary of State and Special Representative for North Korea Stephen E. Biegun will travel to Seoul December 8-11.  He will meet with officials in the Republic of Korea to discuss the U.S.-ROK Alliance and our shared commitment to regional security, stability, and prosperity throughout the Indo-Pacific, and continued close coordination on North Korea.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
125,125,11-Dec-20,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
126,126,11-Dec-20,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
127,127,11-Dec-20,Reeker,"12:00 p.m.Ambassador Reeker delivers a virtual keynote speech at the Atlantic Council of Montenegro’s “To Be Secure” Conference, from Washington, D.C.",None,1,4,TBD, ,,, ,,,
128,128,11-Dec-20,Reeker,"1:45 p.m. Ambassador Reeker delivers a virtual commencement address to the Executive Master of Global Affairs and Management graduates at the Thunderbird School of Global Management, Arizona State University, from Washington, D.C.",None,1,4,TBD, ,,, ,,,
129,129,10-Dec-20,Pompeo,"Secretary Pompeo attends meetings and briefings, at the Department of State.",None,1,1,Meeting, ,,, ,, ; Domestic,
130,130,10-Dec-20,Biegun,"Deputy Secretary Biegun is on travel to the Republic of Korea, from December 8-11, 2020.",<https://2017-2021.state.gov/deputy-secretary-bieguns-travel-to-the-republic-of-korea/>,1,2,Travel, ; Korea,2020-12-08,2020-12-11, ,,,"Deputy Secretary of State and Special Representative for North Korea Stephen E. Biegun will travel to Seoul December 8-11.  He will meet with officials in the Republic of Korea to discuss the U.S.-ROK Alliance and our shared commitment to regional security, stability, and prosperity throughout the Indo-Pacific, and continued close coordination on North Korea.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
131,131,10-Dec-20,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
132,132,10-Dec-20,Krach,"2:30 p.m. Under Secretary Krach participates virtually in the U.S. International Development Finance Corporation Board of Directors Meeting, from the Department of State.",None,1,3,Meeting, ,,, , ; international_organization ; finance, ; Domestic,
133,133,10-Dec-20,Nagy,"12:30 p.m. Assistant Secretary Nagy meets with Egyptian Ambassador to the United States Motaz Zahran, in Washington, D.C.",None,1,4,Meeting, ,,, ,, ; Egypt ; United States,
134,134,10-Dec-20,Moore,"3:30 p.m. Acting Assistant Secretary Moore meets virtually with Botswana Ambassador to the United States Onkokame Kitso Mokaila, from Washington, D.C.",None,1,4,Meeting, ,,, ,, ; United States ; Botswana,
