,Unnamed: 0,Dates,Lastnames,Texts,Links,Counts,Rank,Type,Travel_Places,Travel_Start_Date,Travel_End_Date,html
10,10,17-Oct-22,Satterfield,"Assistant Secretary Satterfield is on travel to California from October 17-20, 2022.",None,1,4,Travel, ; Domestic,2022-11-17,2022-11-20,
11,11,17-Oct-22,Patel,1:00 p.m. Department Press Briefing with Principal Deputy Spokesperson Vedant Patel.,None,1,4,TBD, ,,,
12,12,14-Oct-22,Blinken,"9:15 a.m. Secretary Blinken meets with civil society activists on women’s rights and human rights in Iran, at the Department of State.",None,1,1,TBD, ,,,
13,13,14-Oct-22,Sherman,3:00 p.m. Deputy Secretary Sherman meets with Australian Minister for Defence Industry and Minister for International Development and the Pacific Hon. Pat Conroy at the Department of State.,None,1,2,TBD, ,,,
14,14,14-Oct-22,McKeon,Deputy Secretary McKeon attends meetings and briefings at the Department of State.,None,1,2,TBD, ,,,
15,15,14-Oct-22,Nuland,Under Secretary Nuland attends meetings and briefings at the Department of State.,None,1,3,TBD, ,,,
16,16,14-Oct-22,Donfried,12:00 p.m.Assistant Secretary Donfried meets with Ukrainian Minister of Finance Sergii Marchenko at the Department of State.,None,1,4,TBD, ,,,
17,17,14-Oct-22,Kritenbrink,"Assistant Secretary Kritenbrink is on travel to Vietnam and Laos from October 9-14, 2022.",<https://www.state.gov/assistant-secretary-of-state-for-east-asian-and-pacific-affairs-daniel-j-kritenbrinks-travel-to-vietnam-and-laos/>,1,4,Travel, ; Vietnam ; Laos,2022-11-09,2022-11-14,";;;;;;;;				;;;;						<script type=""text/javascript"">;;;;document.addEventListener(""DOMContentLoaded"", function(event) {;;;;			jQuery(document).ready(function(){;;;;			if (jQuery('p .watermark').length > 0 ) {;;;;;;;;				jQuery('p .watermark').parent().addClass('watermarked');;;;;;;;;				jQuery('p .watermark').parent().each( function() {;;;;					jQuery(this).children('img').attr('style', 'margin: 0 !important');;;;;					jQuery(this).children().wrapAll('<div class=""watermarked_image""></div>');;;;;				});;;;;;;;;				jQuery('.entry-content p.watermarked > div.watermarked_image > img').each( function() {;;;;					if ( jQuery(this).hasClass('alignnone') ) {;;;;						jQuery(this).parent().addClass( 'alignnone' );;;;;					};;;;					if ( jQuery(this).hasClass('alignleft') ) {;;;;						jQuery(this).parent().addClass( 'alignleft' );;;;;					};;;;					if ( jQuery(this).hasClass('alignright') ) {;;;;						jQuery(this).parent().addClass( 'alignright' );;;;;					};;;;					if ( jQuery(this).hasClass('size-medium') ) {;;;;						jQuery(this).parent().addClass( 'has-size-medium' );;;;;					};;;;					if ( jQuery(this).hasClass('aligncenter') ) {;;;;						jQuery(this).parent().addClass( 'aligncenter' );;;;;						jQuery(this).parent().children().wrapAll('<div class=""wm_centered""></div>');;;;;					};;;;				});;;;;			};;;;		});;;;;		});;;;;		</script>;;;;		<p>Assistant Secretary of State for East Asian and Pacific Affairs Daniel J. Kritenbrink will travel to Vietnam and Laos October 9-14.&nbsp; The visits will reaffirm the U.S. commitment to two important partners in Southeast Asia and the importance of ASEAN centrality ahead of the ASEAN-related Summits in November.</p>;;;;<p>In Hanoi, Vietnam, Assistant Secretary Kritenbrink will meet with senior Vietnamese officials to discuss opportunities to expand the U.S.-Vietnam Comprehensive Partnership.&nbsp; The Assistant Secretary will speak with students at the Diplomatic Academy of Vietnam and meet with alumni of the Young Southeast Asian Leaders Initiative.</p>;;;;<p>In Vientiane, Laos, Assistant Secretary Kritenbrink will lead the U.S.-Laos Comprehensive Bilateral Dialogue to discuss closer U.S.-Laos cooperation and forge a deeper connection with Laos as the 2022 Mekong-U.S. Partnership co-chair and in meetings with officials from the Lao Ministry of Foreign Affairs.&nbsp; He will also meet officials from the Mekong River Commission and will engage with alumni of Department of State exchange programs.</p>;;;;<p><input type=""hidden"" data-filter=""100000000000""></p>;;;;;;;;				;;;;				;;;;;;;;	;;;;	;;;;			"
18,18,14-Oct-22,Satterfield,11:30 a.m.Assistant Secretary Satterfield delivers remarks at the Middleburg Film Festival Women in Film luncheon in Virginia.,None,1,4,TBD, ,,,
19,19,14-Oct-22,Patel,2:00 p.m. Department Press Briefing with Principal Deputy Spokesperson Vedant Patel.,None,1,4,TBD, ,,,
20,20,13-Oct-22,Blinken,9:30 a.m.Secretary Blinken meets with Mexican Foreign Secretary Marcelo Ebrard at the Department of State.,None,1,1,TBD, ,,,
21,21,13-Oct-22,Blinken,10:30 a.m.Secretary Blinken delivers opening remarks at the U.S.-Mexico High-Level Security Dialogue at the Department of State.,None,1,1,TBD, ,,,
22,22,13-Oct-22,Blinken,"12:00 p.m.Secretary Blinken, Attorney General Merrick Garland, andSecretary of Homeland Security Alejandro Mayorkas co-host a U.S.-Mexico High-Level Security Dialogue working lunch at the Department of State.",None,1,1,TBD, ,,,
23,23,13-Oct-22,Blinken,"1:30 p.m.Secretary Blinken holds a U.S.-Mexico High-Level Security Dialogue joint press availability with Mexican Foreign Secretary Marcelo Ebrard, Attorney General Merrick Garland, Secretary of Homeland Security Alejandro Mayorkas, and Mexican Security Secretary Rosa Rodriguez at the Department of State.",None,1,1,TBD, ,,,
24,24,13-Oct-22,Blinken,"6:15 p.m.Secretary Blinken delivers remarks at a signing ceremony for a new MOU with the Hispanic Association of Colleges and Universities, at the Department of State.",None,1,1,TBD, ,,,
25,25,13-Oct-22,Sherman,Deputy Secretary Sherman attends meetings and briefings at the Department of State.,None,1,2,TBD, ,,,
26,26,13-Oct-22,McKeon,Deputy Secretary McKeon attends meetings and briefings at the Department of State.,None,1,2,TBD, ,,,
27,27,13-Oct-22,Nuland,Under Secretary Nuland attends meetings and briefings at the Department of State.,None,1,3,TBD, ,,,
28,28,13-Oct-22,Zeya,1:30 p.m. Under Secretary Zeya participates in the second annual U.S.-ROK Democratic Governance Consultations at the Department of State.,None,1,3,TBD, ,,,
29,29,13-Oct-22,Blinken,"6:30 p.m. Senior Official Allen joins Secretary Blinken at a signing ceremony for a new MOU with the Hispanic Association of Colleges and Universities, at the Department of State.",None,2,1,TBD, ,,,
30,30,13-Oct-22,Hood,1:15 p.m.Assistant Secretary Donfried meets with European Commission Deputy Director-General for Neighborhood Policy and Enlargement Negotiations Katarina Mathernova at the Department of State.,None,2,4,TBD, ,,,
31,31,13-Oct-22,Kritenbrink,"Assistant Secretary Kritenbrink is on travel to Vietnam and Laos from October 9-14, 2022.",<https://www.state.gov/assistant-secretary-of-state-for-east-asian-and-pacific-affairs-daniel-j-kritenbrinks-travel-to-vietnam-and-laos/>,1,4,Travel, ; Vietnam ; Laos,2022-11-09,2022-11-14,";;;;;;;;				;;;;						<script type=""text/javascript"">;;;;document.addEventListener(""DOMContentLoaded"", function(event) {;;;;			jQuery(document).ready(function(){;;;;			if (jQuery('p .watermark').length > 0 ) {;;;;;;;;				jQuery('p .watermark').parent().addClass('watermarked');;;;;;;;;				jQuery('p .watermark').parent().each( function() {;;;;					jQuery(this).children('img').attr('style', 'margin: 0 !important');;;;;					jQuery(this).children().wrapAll('<div class=""watermarked_image""></div>');;;;;				});;;;;;;;;				jQuery('.entry-content p.watermarked > div.watermarked_image > img').each( function() {;;;;					if ( jQuery(this).hasClass('alignnone') ) {;;;;						jQuery(this).parent().addClass( 'alignnone' );;;;;					};;;;					if ( jQuery(this).hasClass('alignleft') ) {;;;;						jQuery(this).parent().addClass( 'alignleft' );;;;;					};;;;					if ( jQuery(this).hasClass('alignright') ) {;;;;						jQuery(this).parent().addClass( 'alignright' );;;;;					};;;;					if ( jQuery(this).hasClass('size-medium') ) {;;;;						jQuery(this).parent().addClass( 'has-size-medium' );;;;;					};;;;					if ( jQuery(this).hasClass('aligncenter') ) {;;;;						jQuery(this).parent().addClass( 'aligncenter' );;;;;						jQuery(this).parent().children().wrapAll('<div class=""wm_centered""></div>');;;;;					};;;;				});;;;;			};;;;		});;;;;		});;;;;		</script>;;;;		<p>Assistant Secretary of State for East Asian and Pacific Affairs Daniel J. Kritenbrink will travel to Vietnam and Laos October 9-14.&nbsp; The visits will reaffirm the U.S. commitment to two important partners in Southeast Asia and the importance of ASEAN centrality ahead of the ASEAN-related Summits in November.</p>;;;;<p>In Hanoi, Vietnam, Assistant Secretary Kritenbrink will meet with senior Vietnamese officials to discuss opportunities to expand the U.S.-Vietnam Comprehensive Partnership.&nbsp; The Assistant Secretary will speak with students at the Diplomatic Academy of Vietnam and meet with alumni of the Young Southeast Asian Leaders Initiative.</p>;;;;<p>In Vientiane, Laos, Assistant Secretary Kritenbrink will lead the U.S.-Laos Comprehensive Bilateral Dialogue to discuss closer U.S.-Laos cooperation and forge a deeper connection with Laos as the 2022 Mekong-U.S. Partnership co-chair and in meetings with officials from the Lao Ministry of Foreign Affairs.&nbsp; He will also meet officials from the Mekong River Commission and will engage with alumni of Department of State exchange programs.</p>;;;;<p><input type=""hidden"" data-filter=""100000000000""></p>;;;;;;;;				;;;;				;;;;;;;;	;;;;	;;;;			"
32,32,13-Oct-22,Nichols,"Assistant Secretary Nichols is on travel to Haiti from October 12-13, 2022.",None,1,4,Travel, ; Haiti,2022-11-12,2022-11-13,
33,33,13-Oct-22,Satterfield,"6:30 p.m.Assistant Secretary Satterfield joins Secretary Blinken at a signing ceremony for a new MOU with the Hispanic Association of Colleges and Universities, at the Department of State.",None,2,4,TBD, ,,,
34,34,13-Oct-22,Noyes,"Assistant Secretary Noyes is on travel to Switzerland and Belgium October 9-13, 2022.",<https://www.state.gov/assistant-secretary-noyes-travels-to-switzerland-and-belgium/>,1,4,Travel, ; Belgium ; Switzerland,2022-11-09,2022-11-13,";;;;;;;;				;;;;						<script type=""text/javascript"">;;;;document.addEventListener(""DOMContentLoaded"", function(event) {;;;;			jQuery(document).ready(function(){;;;;			if (jQuery('p .watermark').length > 0 ) {;;;;;;;;				jQuery('p .watermark').parent().addClass('watermarked');;;;;;;;;				jQuery('p .watermark').parent().each( function() {;;;;					jQuery(this).children('img').attr('style', 'margin: 0 !important');;;;;					jQuery(this).children().wrapAll('<div class=""watermarked_image""></div>');;;;;				});;;;;;;;;				jQuery('.entry-content p.watermarked > div.watermarked_image > img').each( function() {;;;;					if ( jQuery(this).hasClass('alignnone') ) {;;;;						jQuery(this).parent().addClass( 'alignnone' );;;;;					};;;;					if ( jQuery(this).hasClass('alignleft') ) {;;;;						jQuery(this).parent().addClass( 'alignleft' );;;;;					};;;;					if ( jQuery(this).hasClass('alignright') ) {;;;;						jQuery(this).parent().addClass( 'alignright' );;;;;					};;;;					if ( jQuery(this).hasClass('size-medium') ) {;;;;						jQuery(this).parent().addClass( 'has-size-medium' );;;;;					};;;;					if ( jQuery(this).hasClass('aligncenter') ) {;;;;						jQuery(this).parent().addClass( 'aligncenter' );;;;;						jQuery(this).parent().children().wrapAll('<div class=""wm_centered""></div>');;;;;					};;;;				});;;;;			};;;;		});;;;;		});;;;;		</script>;;;;		<p>Assistant Secretary for the Bureau of Population, Refugees, and Migration Julieta Valls Noyes will travel to Geneva, Switzerland, and Brussels, Belgium, October 9-13.</p>;;;;<p>In Geneva, Assistant Secretary Noyes will lead the United States delegation to the 73rd session of the Executive Committee of the High Commissioner’s Programme (UNHCR ExCom) and meet with UN officials, foreign government officials, and other international and non-governmental organization partners. Assistant Secretary Noyes will discuss continued U.S. support for UNHCR as its top single country donor and the U.S. commitment to lead in global humanitarian crisis response as the world faces unprecedented levels of displacement.</p>;;;;<p>In Brussels, Assistant Secretary Noyes will meet with EU officials as well as international and non-governmental partners to discuss combined efforts in the global humanitarian crisis response and efforts to meet increasing global resettlement needs for the most vulnerable refugees.</p>;;;;<p><input type=""hidden"" data-filter=""100000000000""></p>;;;;;;;;				;;;;				;;;;;;;;	;;;;	;;;;			"
35,35,12-Oct-22,Blinken,9:00 a.m. Secretary Blinken participates in meetings with members of the Foreign Affairs Policy Board at the Department of State.,None,1,1,TBD, ,,,
36,36,12-Oct-22,Blinken,7:00 p.m. Secretary Blinken hosts the Foundation for Art and Preservation in Embassies reception and dinner at the Department of State.,None,1,1,TBD, ,,,
37,37,12-Oct-22,Sherman,Deputy Secretary Sherman attends meetings and briefings at the Department of State.,None,1,2,TBD, ,,,
38,38,12-Oct-22,McKeon,Deputy Secretary McKeon attends meetings and briefings at the Department of State.,None,1,2,TBD, ,,,
39,39,12-Oct-22,Nuland,Under Secretary Nuland attends meetings and briefings at the Department of State.,None,1,3,TBD, ,,,
40,40,12-Oct-22,Donfried,9:30 a.m.Assistant Secretary Donfried meets with Georgian Public Defender Nino Lomjaria at the Department of State.,None,1,4,TBD, ,,,
41,41,12-Oct-22,Kritenbrink,"Assistant Secretary Kritenbrink is on travel to Vietnam and Laos from October 9-14, 2022.",<https://www.state.gov/assistant-secretary-of-state-for-east-asian-and-pacific-affairs-daniel-j-kritenbrinks-travel-to-vietnam-and-laos/>,1,4,Travel, ; Vietnam ; Laos,2022-11-09,2022-11-14,";;;;;;;;				;;;;						<script type=""text/javascript"">;;;;document.addEventListener(""DOMContentLoaded"", function(event) {;;;;			jQuery(document).ready(function(){;;;;			if (jQuery('p .watermark').length > 0 ) {;;;;;;;;				jQuery('p .watermark').parent().addClass('watermarked');;;;;;;;;				jQuery('p .watermark').parent().each( function() {;;;;					jQuery(this).children('img').attr('style', 'margin: 0 !important');;;;;					jQuery(this).children().wrapAll('<div class=""watermarked_image""></div>');;;;;				});;;;;;;;;				jQuery('.entry-content p.watermarked > div.watermarked_image > img').each( function() {;;;;					if ( jQuery(this).hasClass('alignnone') ) {;;;;						jQuery(this).parent().addClass( 'alignnone' );;;;;					};;;;					if ( jQuery(this).hasClass('alignleft') ) {;;;;						jQuery(this).parent().addClass( 'alignleft' );;;;;					};;;;					if ( jQuery(this).hasClass('alignright') ) {;;;;						jQuery(this).parent().addClass( 'alignright' );;;;;					};;;;					if ( jQuery(this).hasClass('size-medium') ) {;;;;						jQuery(this).parent().addClass( 'has-size-medium' );;;;;					};;;;					if ( jQuery(this).hasClass('aligncenter') ) {;;;;						jQuery(this).parent().addClass( 'aligncenter' );;;;;						jQuery(this).parent().children().wrapAll('<div class=""wm_centered""></div>');;;;;					};;;;				});;;;;			};;;;		});;;;;		});;;;;		</script>;;;;		<p>Assistant Secretary of State for East Asian and Pacific Affairs Daniel J. Kritenbrink will travel to Vietnam and Laos October 9-14.&nbsp; The visits will reaffirm the U.S. commitment to two important partners in Southeast Asia and the importance of ASEAN centrality ahead of the ASEAN-related Summits in November.</p>;;;;<p>In Hanoi, Vietnam, Assistant Secretary Kritenbrink will meet with senior Vietnamese officials to discuss opportunities to expand the U.S.-Vietnam Comprehensive Partnership.&nbsp; The Assistant Secretary will speak with students at the Diplomatic Academy of Vietnam and meet with alumni of the Young Southeast Asian Leaders Initiative.</p>;;;;<p>In Vientiane, Laos, Assistant Secretary Kritenbrink will lead the U.S.-Laos Comprehensive Bilateral Dialogue to discuss closer U.S.-Laos cooperation and forge a deeper connection with Laos as the 2022 Mekong-U.S. Partnership co-chair and in meetings with officials from the Lao Ministry of Foreign Affairs.&nbsp; He will also meet officials from the Mekong River Commission and will engage with alumni of Department of State exchange programs.</p>;;;;<p><input type=""hidden"" data-filter=""100000000000""></p>;;;;;;;;				;;;;				;;;;;;;;	;;;;	;;;;			"
42,42,12-Oct-22,Leaf,"Assistant Secretary Leaf is on travel to Egypt, the United Arab Emirates, Kuwait, and Qatar from October 11-12, 2022.",<https://www.state.gov/assistant-secretary-leafs-travel-to-egypt-the-united-arab-emirates-kuwait-and-qatar/>,1,4,Travel, ; United Arab Emirates ; Egypt ; Qatar ; Kuwait,2022-11-11,2022-11-12,";;;;;;;;				;;;;						<script type=""text/javascript"">;;;;document.addEventListener(""DOMContentLoaded"", function(event) {;;;;			jQuery(document).ready(function(){;;;;			if (jQuery('p .watermark').length > 0 ) {;;;;;;;;				jQuery('p .watermark').parent().addClass('watermarked');;;;;;;;;				jQuery('p .watermark').parent().each( function() {;;;;					jQuery(this).children('img').attr('style', 'margin: 0 !important');;;;;					jQuery(this).children().wrapAll('<div class=""watermarked_image""></div>');;;;;				});;;;;;;;;				jQuery('.entry-content p.watermarked > div.watermarked_image > img').each( function() {;;;;					if ( jQuery(this).hasClass('alignnone') ) {;;;;						jQuery(this).parent().addClass( 'alignnone' );;;;;					};;;;					if ( jQuery(this).hasClass('alignleft') ) {;;;;						jQuery(this).parent().addClass( 'alignleft' );;;;;					};;;;					if ( jQuery(this).hasClass('alignright') ) {;;;;						jQuery(this).parent().addClass( 'alignright' );;;;;					};;;;					if ( jQuery(this).hasClass('size-medium') ) {;;;;						jQuery(this).parent().addClass( 'has-size-medium' );;;;;					};;;;					if ( jQuery(this).hasClass('aligncenter') ) {;;;;						jQuery(this).parent().addClass( 'aligncenter' );;;;;						jQuery(this).parent().children().wrapAll('<div class=""wm_centered""></div>');;;;;					};;;;				});;;;;			};;;;		});;;;;		});;;;;		</script>;;;;		<p>Assistant Secretary for Near Eastern Affairs Barbara A. Leaf will travel to Egypt, the United Arab Emirates, Kuwait, Qatar, and Oman from October 11 to October 24, to meet with a range of senior government officials, as well as non-governmental and civil society representatives.</p>;;;;<p>In Egypt from October 11-14, she will discuss a range of bilateral issues, as well as our shared interests in de-escalation and maintaining regional stability.</p>;;;;<p>In the United Arab Emirates from October 15-17, she will discuss our collective efforts to confront regional security challenges, including the urgent need to secure a new expanded truce agreement and broader political settlement in Yemen.</p>;;;;<p>In Kuwait from October 18-19, she will raise regional developments, bilateral security cooperation, and other key issues.</p>;;;;<p>In Qatar from October 19-20, she will discuss economic, security and political cooperation with the Qatari government and Qatar’s support for Afghan relocations.</p>;;;;<p>In Oman from October 21-24, she will discuss Iran, Yemen, and other issues of mutual interest, and thank Oman for the important role it plays in these and other regional matters.</p>;;;;<p><input type=""hidden"" data-filter=""100001000100""></p>;;;;;;;;				;;;;				;;;;;;;;	;;;;	;;;;			"
43,43,12-Oct-22,Nichols,"Assistant Secretary Nichols is on travel to Haiti from October 12-13, 2022.",None,1,4,Travel, ; Haiti,2022-11-12,2022-11-13,
